Time (ms), Voltage (V), Raw reading
491,0,0
502,0,0
514,0,0
526,0,0
537,0,0
549,0,0
561,0,0
573,0,0
584,0,0
596,0,0
608,0,0
619,0,0
631,0,0
643,0,0
655,0,0
666,0,0
678,0,0
690,0,0
701,0,0
713,0,0
724,0,0
737,0,0
748,0,0
760,0,0
772,0,0
783,0,0
795,0,0
806,0,0
819,0,0
830,0,0
842,0,0
854,0,0
865,0,0
877,0,0
888,0,0
901,0,0
912,0,0
924,0,0
935,0,0
947,0,0
959,0,0
970,0,0
983,0,0
994,0,0
1009,0,0
1020,0,0
1033,0,0
1044,0,0
1056,0,0
1068,0,0
1080,0,0
1091,0,0
1103,0,0
1115,0,0
1127,0,0
1138,0,0
1150,0,0
1162,0,0
1173,0,0
1185,0,0
1197,0,0
1209,0,0
1220,0,0
1232,0,0
1244,0,0
1256,0,0
1267,0,0
1278,0,0
1291,0,0
1302,0,0
1314,0,0
1326,0,0
1338,0,0
1349,0,0
1361,0,0
1373,0,0
1385,0,0
1396,0,0
1408,0,0
1420,0,0
1431,0,0
1443,0,0
1455,0,0
1467,0,0
1478,0,0
1490,0,0
1502,0,0
1511,0,0
1523,0,0
1534,0,0
1547,0,0
1558,0,0
1570,0,0
1582,0,0
1594,0,0
1605,0,0
1617,0,0
1629,0,0
1640,0,0
1652,0,0
1664,0,0
1676,0,0
1687,0,0
1699,0,0
1711,0,0
1723,0,0
1734,0,0
1746,0,0
1758,0,0
1769,0,0
1781,0,0
1793,0,0
1805,0,0
1816,0,0
1828,0,0
1840,0,0
1852,0,0
1863,0,0
1875,0,0
1887,0,0
1899,0,0
1910,0,0
1922,0,0
1934,0,0
1945,0,0
1957,0,0
1969,0,0
1981,0,0
1992,0,0
2008,0,0
2019,0,0
2031,0,0
2042,0,0
2055,0,0
2066,0,0
2078,0,0
2089,0,0
2102,0,0
2113,0,0
2125,0,0
2137,0,0
2159,0,0
2189,0,0
2199,0,0
2210,0,0
2222,0,0
2233,0,0
2244,0,0
2255,0,0
2267,0,0
2277,0,0
2288,0,0
2299,0,0
2311,0,0
2322,0,0
2333,0,0
2344,0,0
2355,0,0
2366,0,0
2377,0,0
2388,0,0
2400,0,0
2410,0,0
2421,0,0
2433,0,0
2444,0,0
2455,0,0
2466,0,0
2477,0,0
2488,0,0
2499,0,0
2510,0,0
2525,0,0
2536,0,0
2546,0,0
2557,0,0
2569,0,0
2580,0,0
2590,0,0
2601,0,0
2613,0,0
2624,0,0
2635,0,0
2647,0,0
2657,0,0
2668,0,0
2679,0,0
2691,0,0
2702,0,0
2712,0,0
2723,0,0
2735,0,0
2746,0,0
2757,0,0
2767,0,0
2779,0,0
2790,0,0
2801,0,0
2812,0,0
2823,0,0
2834,0,0
2845,0,0
2856,0,0
2868,0,0
2879,0,0
2889,0,0
2900,0,0
2912,0,0
2923,0,0
2934,0,0
2945,0,0
2956,0,0
2967,0,0
2978,0,0
2990,0,0
2998,0,0
3009,0,0
3020,0,0
3032,0,0
3042,0,0
3053,0,0
3064,0,0
3076,0,0
3087,0,0
3098,0,0
3108,0,0
3120,0,0
3131,0,0
3142,0,0
3153,0,0
3164,0,0
3175,0,0
3186,0,0
3197,0,0
3208,0,0
3219,0,0
3230,0,0
3241,0,0
3253,0,0
3264,0,0
3275,0,0
3286,0,0
3297,0,0
3308,0,0
3319,0,0
3330,0,0
3341,0,0
3352,0,0
3363,0,0
3375,0,0
3385,0,0
3396,0,0
3407,0,0
3419,0,0
3430,0,0
3441,0,0
3452,0,0
3466,0,0
3477,0,0
3488,0,0
3500,0,0
3510,0,0
3521,0,0
3532,0,0
3544,0,0
3555,0,0
3565,0,0
3576,0,0
3588,0,0
3599,0,0
3610,0,0
3621,0,0
3633,0,0
3643,0,0
3654,0,0
3665,0,0
3677,0,0
3688,0,0
3698,0,0
3709,0,0
3721,0,0
3732,0,0
3743,0,0
3753,0,0
3765,0,0
3776,0,0
3787,0,0
3799,0,0
3810,0,0
3820,0,0
3831,0,0
3843,0,0
3854,0,0
3865,0,0
3875,0,0
3887,0,0
3898,0,0
3909,0,0
3920,0,0
3932,0,0
3945,0,0
3956,0,0
3968,0,0
3979,0,0
3990,0,0
4000,0,0
4012,0,0
4023,0,0
4034,0,0
4045,0,0
4056,0,0
4067,0,0
4078,0,0
4089,0,0
4101,0,0
4112,0,0
4122,0,0
4133,0,0
4145,0,0
4156,0,0
4167,0,0
4177,0,0
4189,0,0
4200,0,0
4211,0,0
4221,0,0
4233,0,0
4244,0,0
4255,0,0
4267,0,0
4278,0,0
4288,0,0
4299,0,0
4311,0,0
4322,0,0
4333,0,0
4343,0,0
4355,0,0
4366,0,0
4377,0,0
4388,0,0
4399,0,0
4410,0,0
4419,0,0
4430,0,0
4441,0,0
4452,0,0
4463,0,0
4474,0,0
4486,0,0
4497,0,0
4508,0,0
4518,0,0
4530,0,0
4541,0,0
4552,0,0
4562,0,0
4574,0,0
4585,0,0
4596,0,0
4608,0,0
4618,0,0
4629,0,0
4640,0,0
4652,0,0
4663,0,0
4674,0,0
4685,0,0
4696,0,0
4707,0,0
4718,0,0
4729,0,0
4740,0,0
4751,0,0
4762,0,0
4773,0,0
4785,0,0
4795,0,0
4806,0,0
4817,0,0
4829,0,0
4840,0,0
4851,0,0
4861,0,0
4873,0,0
4887,0,0
4898,0,0
4910,0,0
4920,0,0
4931,0,0
4942,0,0
4954,0,0
4965,0,0
4975,0,0
4986,0,0
5020,0,0
5031,0,0
5043,0,0
5053,0,0
5064,0,0
5075,0,0
5087,0,0
5098,0,0
5109,0,0
5121,0,0
5131,0,0
5142,0,0
5153,0,0
5165,0,0
5176,0,0
5187,0,0
5197,0,0
5209,0,0
5220,0,0
5231,0,0
5242,0,0
5254,0,0
5265,0,0
5275,0,0
5286,0,0
5298,0,0
5309,0,0
5320,0,0
5330,0,0
5342,0,0
5353,0,0
5364,0,0
5376,0,0
5390,0,0
5400,0,0
5411,0,0
5423,0,0
5434,0,0
5445,0,0
5456,0,0
5467,0,0
5478,0,0
5489,0,0
5500,0,0
5512,0,0
5522,0,0
5533,0,0
5544,0,0
5556,0,0
5567,0,0
5577,0,0
5588,0,0
5600,0,0
5611,0,0
5622,0,0
5634,0,0
5644,0,0
5655,0,0
5666,0,0
5678,0,0
5689,0,0
5699,0,0
5710,0,0
5722,0,0
5733,0,0
5744,0,0
5755,0,0
5766,0,0
5777,0,0
5788,0,0
5799,0,0
5811,0,0
5821,0,0
5832,0,0
5843,0,0
5855,0,0
5863,0,0
5874,0,0
5885,0,0
5897,0,0
5908,0,0
5919,0,0
5929,0,0
5941,0,0
5952,0,0
5963,0,0
5975,0,0
5985,0,0
5996,0,0
6007,0,0
6019,0,0
6030,0,0
6040,0,0
6051,0,0
6063,0,0
6074,0,0
6085,0,0
6096,0,0
6107,0,0
6118,0,0
6129,0,0
6140,0,0
6152,0,0
6163,0,0
6173,0,0
6184,0,0
6196,0,0
6207,0,0
6218,0,0
6228,0,0
6240,0,0
6251,0,0
6262,0,0
6274,0,0
6284,0,0
6295,0,0
6306,0,0
6318,0,0
6332,0,0
6343,0,0
6354,0,0
6365,0,0
6376,0,0
6387,0,0
6398,0,0
6410,0,0
6420,0,0
6431,0,0
6443,0,0
6454,0,0
6464,0,0
6475,0,0
6487,0,0
6498,0,0
6509,0,0
6520,0,0
6531,0,0
6542,0,0
6553,0,0
6564,0,0
6576,0,0
6586,0,0
6597,0,0
6608,0,0
6620,0,0
6631,0,0
6642,0,0
6652,0,0
6664,0,0
6675,0,0
6686,0,0
6697,0,0
6709,0,0
6719,0,0
6730,0,0
6742,0,0
6753,0,0
6764,0,0
6774,0,0
6786,0,0
6797,0,0
6811,0,0
6822,0,0
6834,0,0
6844,0,0
6855,0,0
Time (ms), Voltage (V), Raw reading
429,0,0
446,0,0
457,0,0
467,0,0
479,0,0
490,0,0
501,0,0
512,0,0
523,0,0
534,0,0
545,0,0
557,0,0
567,0,0
578,0,0
589,0,0
601,0,0
612,0,0
622,0,0
633,0,0
645,0,0
656,0,0
666,0,0
677,0,0
689,0,0
700,0,0
Time (ms), Voltage (V), Raw reading
429,0,0
446,0,0
456,0,0
467,0,0
479,0,0
490,0,0
501,0,0
512,0,0
523,0,0
537,0,0
548,0,0
560,0,0
570,0,0
581,0,0
592,0,0
604,0,0
615,0,0
625,0,0
636,0,0
648,0,0
659,0,0
669,0,0
680,0,0
692,0,0
703,0,0
713,0,0
724,0,0
736,0,0
747,0,0
758,0,0
769,0,0
780,0,0
791,0,0
802,0,0
813,0,0
824,0,0
835,0,0
846,0,0
858,0,0
869,0,0
879,0,0
890,0,0
902,0,0
913,0,0
923,0,0
934,0,0
946,0,0
957,0,0
968,0,0
978,0,0
990,0,0
1001,0,0
1012,0,0
1024,0,0
1034,0,0
1045,0,0
1054,0,0
1065,0,0
1077,0,0
1087,0,0
1098,0,0
1110,0,0
1145,0,0
1157,0,0
1168,0,0
1179,0,0
1189,0,0
1201,0,0
1212,0,0
1223,0,0
1234,0,0
1246,0,0
1257,0,0
1268,0,0
1278,0,0
1290,0,0
1301,0,0
1312,0,0
1324,0,0
1335,0,0
1345,0,0
1356,0,0
1368,0,0
1379,0,0
1390,0,0
1401,0,0
1412,0,0
1423,0,0
1434,0,0
1445,0,0
1457,0,0
1467,0,0
1478,0,0
1489,0,0
1501,0,0
1512,0,0
1523,0,0
1534,0,0
1548,0,0
1559,0,0
1570,0,0
1582,0,0
1593,0,0
1603,0,0
1614,0,0
1626,0,0
1637,0,0
1648,0,0
1658,0,0
1670,0,0
1681,0,0
1692,0,0
1703,0,0
1715,0,0
1725,0,0
1736,0,0
1747,0,0
1759,0,0
1770,0,0
1780,0,0
1792,0,0
1803,0,0
1814,0,0
1825,0,0
1837,0,0
1847,0,0
1858,0,0
1869,0,0
1881,0,0
1892,0,0
1902,0,0
1913,0,0
1925,0,0
1936,0,0
1947,0,0
1957,0,0
1969,0,0
1980,0,0
1991,0,0
2002,0,0
2014,0,0
2027,0,0
2038,0,0
2050,0,0
2061,0,0
2072,0,0
2082,0,0
2094,0,0
2105,0,0
2116,0,0
2127,0,0
2138,0,0
2149,0,0
2160,0,0
2171,0,0
2183,0,0
2193,0,0
2204,0,0
2215,0,0
2227,0,0
2238,0,0
2249,0,0
2259,0,0
2271,0,0
2282,0,0
2293,0,0
2305,0,0
2315,0,0
2326,0,0
2337,0,0
2349,0,0
2360,0,0
2371,0,0
2381,0,0
2393,0,0
2404,0,0
2415,0,0
2426,0,0
2437,0,0
2448,0,0
2459,0,0
2470,0,0
2482,0,0
2492,0,0
2501,0,0
2512,0,0
2524,0,0
2535,0,0
2546,0,0
2556,0,0
2568,0,0
2579,0,0
2590,0,0
2601,0,0
2612,0,0
2623,0,0
2634,0,0
2646,0,0
2657,0,0
2667,0,0
2678,0,0
2690,0,0
2701,0,0
2712,0,0
2723,0,0
2734,0,0
2745,0,0
2756,0,0
2767,0,0
2779,0,0
2789,0,0
2800,0,0
2811,0,0
2823,0,0
2834,0,0
2845,0,0
2855,0,0
2867,0,0
2878,0,0
2889,0,0
2900,0,0
2912,0,0
2922,0,0
2933,0,0
2945,0,0
2956,0,0
2970,0,0
2980,0,0
2992,0,0
3003,0,0
3014,0,0
3025,0,0
3037,0,0
3047,0,0
3058,0,0
3069,0,0
3081,0,0
3092,0,0
3102,0,0
3113,0,0
3125,0,0
3136,0,0
3147,0,0
3158,0,0
3169,0,0
3180,0,0
3191,0,0
3203,0,0
3214,0,0
3224,0,0
3235,0,0
3247,0,0
3258,0,0
3269,0,0
3279,0,0
3291,0,0
3302,0,0
3313,0,0
3324,0,0
3335,0,0
3346,0,0
3357,0,0
3368,0,0
3380,0,0
3391,0,0
3401,0,0
3412,0,0
3424,0,0
3435,0,0
3449,0,0
3460,0,0
3471,0,0
3482,0,0
3493,0,0
3505,0,0
3515,0,0
3526,0,0
3537,0,0
3549,0,0
3560,0,0
3570,0,0
3581,0,0
3593,0,0
3604,0,0
3615,0,0
3625,0,0
3637,0,0
3648,0,0
3659,0,0
3671,0,0
3682,0,0
3692,0,0
3703,0,0
3715,0,0
3726,0,0
3737,0,0
3747,0,0
3759,0,0
3770,0,0
3781,0,0
3792,0,0
3804,0,0
3814,0,0
3825,0,0
3836,0,0
3848,0,0
3859,0,0
3870,0,0
3880,0,0
3892,0,0
3903,0,0
3914,0,0
3923,0,0
3934,0,0
3945,0,0
3964,0,0
3990,0,0
4001,0,0
4012,0,0
4023,0,0
4034,0,0
4045,0,0
4057,0,0
4068,0,0
4079,0,0
4089,0,0
4101,0,0
4112,0,0
4123,0,0
4134,0,0
4146,0,0
4156,0,0
4167,0,0
4178,0,0
4190,0,0
4201,0,0
4212,0,0
4222,0,0
4234,0,0
4245,0,0
4256,0,0
4268,0,0
4279,0,0
4289,0,0
4300,0,0
4312,0,0
4323,0,0
4334,0,0
4345,0,0
4356,0,0
4367,0,0
4378,0,0
4389,0,0
4401,0,0
4414,0,0
4425,0,0
4436,0,0
4448,0,0
4459,0,0
4469,0,0
4481,0,0
4492,0,0
4503,0,0
4514,0,0
4526,0,0
4536,0,0
4547,0,0
4558,0,0
4570,0,0
4581,0,0
4591,0,0
4602,0,0
4614,0,0
4625,0,0
4636,0,0
4646,0,0
4658,0,0
4669,0,0
4680,0,0
4691,0,0
4703,0,0
4713,0,0
4724,0,0
4736,0,0
4747,0,0
4758,0,0
4768,0,0
4780,0,0
4791,0,0
4802,0,0
4813,0,0
4824,0,0
4835,0,0
4846,0,0
4857,0,0
4869,0,0
4880,0,0
4893,0,0
4904,0,0
4916,0,0
4927,0,0
4938,0,0
4948,0,0
4960,0,0
4971,0,0
4982,0,0
4994,0,0
5004,0,0
5015,0,0
5026,0,0
5038,0,0
5049,0,0
5059,0,0
5070,0,0
5082,0,0
5093,0,0
5104,0,0
5115,0,0
5126,0,0
5137,0,0
5148,0,0
5159,0,0
5171,0,0
5181,0,0
5192,0,0
5203,0,0
5215,0,0
5226,0,0
5237,0,0
5248,0,0
5259,0,0
5270,0,0
5281,0,0
5293,0,0
5303,0,0
5314,0,0
5325,0,0
5337,0,0
5348,0,0
5359,0,0
5367,0,0
5379,0,0
5390,0,0
5401,0,0
5412,0,0
5423,0,0
5434,0,0
5445,0,0
5456,0,0
5468,0,0
5478,0,0
5489,0,0
5500,0,0
5512,0,0
5523,0,0
Time (ms), Voltage (V), Raw reading
429,0,0
446,0,0
456,0,0
467,0,0
479,0,0
490,0,0
501,0,0
512,0,0
523,0,0
534,0,0
545,0,0
557,0,0
567,0,0
578,0,0
589,0,0
601,0,0
611,0,0
622,0,0
633,0,0
645,0,0
656,0,0
666,0,0
677,0,0
689,0,0
700,0,0
710,0,0
724,0,0
736,0,0
747,0,0
758,0,0
769,0,0
780,0,0
791,0,0
802,0,0
814,0,0
824,0,0
835,0,0
846,0,0
858,0,0
868,0,0
879,0,0
890,0,0
902,0,0
913,0,0
923,0,0
934,0,0
946,0,0
957,0,0
968,0,0
978,0,0
990,0,0
1001,0,0
1012,0,0
1022,0,0
1034,0,0
1045,0,0
1056,0,0
1068,0,0
1079,0,0
1089,0,0
1100,0,0
1112,0,0
1123,0,0
1134,0,0
1144,0,0
1156,0,0
1167,0,0
1178,0,0
1189,0,0
1200,0,0
1211,0,0
1225,0,0
1236,0,0
1248,0,0
1258,0,0
1269,0,0
1281,0,0
1292,0,0
1303,0,0
1314,0,0
1325,0,0
1336,0,0
1347,0,0
1358,0,0
1370,0,0
1380,0,0
1391,0,0
1402,0,0
1414,0,0
1424,0,0
1435,0,0
1446,0,0
1458,0,0
1469,0,0
1480,0,0
1490,0,0
1502,0,0
1513,0,0
1524,0,0
1536,0,0
1546,0,0
1557,0,0
1568,0,0
1580,0,0
1591,0,0
1601,0,0
1612,0,0
1624,0,0
1635,0,0
1646,0,0
1657,0,0
1669,0,0
1679,0,0
1700,0,0
1729,0,0
1740,0,0
1752,0,0
1763,0,0
1774,0,0
1784,0,0
1796,0,0
1807,0,0
1818,0,0
1829,0,0
1841,0,0
1852,0,0
1862,0,0
1873,0,0
1885,0,0
1896,0,0
1907,0,0
1918,0,0
1930,0,0
1940,0,0
1951,0,0
1963,0,0
1974,0,0
1985,0,0
1995,0,0
2007,0,0
2018,0,0
2029,0,0
2040,0,0
2051,0,0
2062,0,0
2073,0,0
2084,0,0
2096,0,0
2107,0,0
2117,0,0
2128,0,0
2140,0,0
2151,0,0
2162,0,0
2172,0,0
2184,0,0
2198,0,0
2209,0,0
2221,0,0
2231,0,0
2242,0,0
2253,0,0
2265,0,0
2276,0,0
2287,0,0
2297,0,0
2309,0,0
2320,0,0
2331,0,0
2342,0,0
2353,0,0
2364,0,0
2375,0,0
2386,0,0
2398,0,0
2408,0,0
2419,0,0
2430,0,0
2442,0,0
2453,0,0
2464,0,0
2475,0,0
2486,0,0
2497,0,0
2508,0,0
2520,0,0
2530,0,0
2541,0,0
2552,0,0
2564,0,0
2575,0,0
2585,0,0
2596,0,0
2608,0,0
2619,0,0
2630,0,0
2641,0,0
2652,0,0
2663,0,0
2677,0,0
2689,0,0
2699,0,0
2710,0,0
2721,0,0
2733,0,0
2744,0,0
2754,0,0
2765,0,0
2777,0,0
2788,0,0
2799,0,0
2810,0,0
2821,0,0
2832,0,0
2843,0,0
2854,0,0
2866,0,0
2876,0,0
2887,0,0
2898,0,0
2910,0,0
2921,0,0
2932,0,0
2942,0,0
2954,0,0
2965,0,0
2976,0,0
2988,0,0
2999,0,0
3009,0,0
3020,0,0
3032,0,0
3043,0,0
3054,0,0
3064,0,0
3076,0,0
3087,0,0
3098,0,0
3109,0,0
3121,0,0
3131,0,0
3142,0,0
3156,0,0
3168,0,0
3178,0,0
3189,0,0
3201,0,0
3212,0,0
3223,0,0
3234,0,0
3245,0,0
3256,0,0
3267,0,0
3278,0,0
3290,0,0
3300,0,0
3311,0,0
3322,0,0
3334,0,0
3345,0,0
3355,0,0
3366,0,0
3378,0,0
3389,0,0
3400,0,0
3410,0,0
3422,0,0
3433,0,0
3444,0,0
3456,0,0
3467,0,0
3477,0,0
3488,0,0
3500,0,0
3511,0,0
3522,0,0
3532,0,0
3544,0,0
3555,0,0
3566,0,0
3577,0,0
3589,0,0
3599,0,0
3610,0,0
3624,0,0
3636,0,0
3647,0,0
3657,0,0
3668,0,0
3680,0,0
3691,0,0
3702,0,0
3713,0,0
3724,0,0
3735,0,0
3746,0,0
3758,0,0
3768,0,0
3779,0,0
3790,0,0
3802,0,0
3813,0,0
3824,0,0
3834,0,0
3846,0,0
3857,0,0
3868,0,0
3879,0,0
3890,0,0
3901,0,0
3912,0,0
3923,0,0
3934,0,0
3945,0,0
3956,0,0
3968,0,0
3979,0,0
3990,0,0
4000,0,0
4012,0,0
4023,0,0
4034,0,0
4045,0,0
4056,0,0
4067,0,0
4078,0,0
4089,0,0
4104,0,0
4115,0,0
4125,0,0
4136,0,0
4148,0,0
4159,0,0
4170,0,0
4180,0,0
4192,0,0
4203,0,0
4214,0,0
4226,0,0
4236,0,0
4247,0,0
4258,0,0
4270,0,0
4281,0,0
4291,0,0
4302,0,0
4314,0,0
4325,0,0
4336,0,0
4346,0,0
4358,0,0
4369,0,0
4380,0,0
4391,0,0
4403,0,0
4413,0,0
4424,0,0
4435,0,0
4447,0,0
4458,0,0
4469,0,0
4480,0,0
4491,0,0
4502,0,0
4513,0,0
4525,0,0
4557,0,0
4569,0,0
4580,0,0
4590,0,0
4604,0,0
4616,0,0
4627,0,0
4638,0,0
4649,0,0
4661,0,0
4672,0,0
4682,0,0
4694,0,0
4705,0,0
4716,0,0
4727,0,0
4739,0,0
4749,0,0
4760,0,0
4771,0,0
4783,0,0
4794,0,0
4804,0,0
4815,0,0
4827,0,0
4838,0,0
4849,0,0
4860,0,0
4871,0,0
4882,0,0
4893,0,0
4904,0,0
4916,0,0
4927,0,0
4937,0,0
4948,0,0
4960,0,0
4971,0,0
4982,0,0
4993,0,0
5004,0,0
5015,0,0
5026,0,0
5038,0,0
5048,0,0
5059,0,0
5073,0,0
5085,0,0
5096,0,0
5107,0,0
5117,0,0
5129,0,0
5140,0,0
5151,0,0
5163,0,0
5173,0,0
5184,0,0
5195,0,0
5207,0,0
5218,0,0
5229,0,0
5239,0,0
5251,0,0
5262,0,0
5273,0,0
5284,0,0
5295,0,0
5306,0,0
5317,0,0
5328,0,0
5340,0,0
5350,0,0
5361,0,0
5372,0,0
5384,0,0
5395,0,0
5405,0,0
5416,0,0
5428,0,0
5439,0,0
5450,0,0
5460,0,0
5472,0,0
5483,0,0
5494,0,0
5506,0,0
5516,0,0
5527,0,0
5538,0,0
5553,0,0
5564,0,0
5575,0,0
5585,0,0
5597,0,0
5608,0,0
5619,0,0
5630,0,0
5641,0,0
5652,0,0
5663,0,0
5675,0,0
5686,0,0
5697,0,0
5707,0,0
5719,0,0
5730,0,0
5741,0,0
5752,0,0
5763,0,0
5774,0,0
5785,0,0
5796,0,0
5808,0,0
5818,0,0
5829,0,0
5840,0,0
5852,0,0
5863,0,0
5873,0,0
5884,0,0
5896,0,0
5907,0,0
5918,0,0
5929,0,0
5940,0,0
5951,0,0
5962,0,0
5974,0,0
5985,0,0
5995,0,0
6006,0,0
6018,0,0
6032,0,0
6043,0,0
6054,0,0
6065,0,0
6076,0,0
6087,0,0
6098,0,0
6110,0,0
6120,0,0
6131,0,0
6142,0,0
6154,0,0
6165,0,0
6175,0,0
6187,0,0
6198,0,0
6209,0,0
6220,0,0
6231,0,0
6242,0,0
6253,0,0
6264,0,0
6276,0,0
6286,0,0
6297,0,0
6308,0,0
6320,0,0
6331,0,0
6341,0,0
6352,0,0
6364,0,0
6375,0,0
6386,0,0
6396,0,0
6408,0,0
6419,0,0
6430,0,0
6441,0,0
6453,0,0
6463,0,0
6474,0,0
6486,0,0
6500,0,0
6511,0,0
6521,0,0
6533,0,0
6544,0,0
6555,0,0
6566,0,0
6578,0,0
6588,0,0
6599,0,0
6610,0,0
6622,0,0
6633,0,0
6643,0,0
6654,0,0
6666,0,0
6677,0,0
6688,0,0
6699,0,0
6710,0,0
6721,0,0
6732,0,0
6744,0,0
6754,0,0
6765,0,0
6776,0,0
6788,0,0
6799,0,0
6809,0,0
6820,0,0
6832,0,0
6843,0,0
6854,0,0
6865,0,0
6876,0,0
6887,0,0
6898,0,0
6909,0,0
6921,0,0
6931,0,0
6942,0,0
6953,0,0
6965,0,0
6979,0,0
6989,0,0
7001,0,0
7012,0,0
7023,0,0
7034,0,0
7045,0,0
7056,0,0
7067,0,0
7078,0,0
7090,0,0
7100,0,0
7111,0,0
7122,0,0
7134,0,0
7145,0,0
7155,0,0
7166,0,0
7178,0,0
7189,0,0
7200,0,0
7212,0,0
7222,0,0
7233,0,0
7244,0,0
7256,0,0
7267,0,0
7277,0,0
7288,0,0
7300,0,0
7311,0,0
7322,0,0
7333,0,0
7344,0,0
7355,0,0
7374,0,0
7400,0,0
7411,0,0
7422,0,0
7434,0,0
7445,0,0
7455,0,0
7467,0,0
7481,0,0
7492,0,0
7503,0,0
7515,0,0
7526,0,0
7536,0,0
7547,0,0
7559,0,0
7570,0,0
7581,0,0
7592,0,0
7603,0,0
7614,0,0
7625,0,0
7636,0,0
7648,0,0
7658,0,0
7669,0,0
7681,0,0
7692,0,0
7703,0,0
7714,0,0
7725,0,0
7736,0,0
7747,0,0
7758,0,0
7770,0,0
7780,0,0
7791,0,0
7802,0,0
7814,0,0
7825,0,0
7835,0,0
7846,0,0
7858,0,0
7869,0,0
7880,0,0
7891,0,0
7902,0,0
7913,0,0
7924,0,0
7936,0,0
7950,0,0
7960,0,0
7971,0,0
7983,0,0
7994,0,0
8005,0,0
8016,0,0
8027,0,0
8038,0,0
8049,0,0
8060,0,0
8072,0,0
8082,0,0
8093,0,0
8104,0,0
8116,0,0
8127,0,0
8137,0,0
8148,0,0
8160,0,0
8171,0,0
8182,0,0
8193,0,0
8204,0,0
8215,0,0
8226,0,0
8238,0,0
8248,0,0
8259,0,0
8270,0,0
8282,0,0
8293,0,0
8303,0,0
8314,0,0
8326,0,0
8337,0,0
8348,0,0
8358,0,0
8370,0,0
8381,0,0
8392,0,0
8403,0,0
8415,0,0
8428,0,0
8439,0,0
8451,0,0
8462,0,0
8473,0,0
8483,0,0
8495,0,0
8506,0,0
8517,0,0
8528,0,0
8540,0,0
8551,0,0
8561,0,0
8572,0,0
8584,0,0
8595,0,0
8605,0,0
8616,0,0
8628,0,0
8639,0,0
8650,0,0
8660,0,0
8672,0,0
8683,0,0
8694,0,0
8706,0,0
8717,0,0
8727,0,0
8738,0,0
8750,0,0
8761,0,0
8772,0,0
8782,0,0
8794,0,0
8805,0,0
8816,0,0
8827,0,0
8838,0,0
8849,0,0
8860,0,0
8871,0,0
8883,0,0
8894,0,0
8907,0,0
8919,0,0
8930,0,0
8941,0,0
8952,0,0
8963,0,0
8974,0,0
8985,0,0
8996,0,0
9008,0,0
9018,0,0
9029,0,0
9040,0,0
9052,0,0
9063,0,0
9074,0,0
9084,0,0
9096,0,0
9107,0,0
9118,0,0
9129,0,0
9140,0,0
9151,0,0
9162,0,0
9174,0,0
9185,0,0
9195,0,0
9206,0,0
9218,0,0
9229,0,0
9240,0,0
9251,0,0
9262,0,0
9273,0,0
9284,0,0
9295,0,0
9306,0,0
9317,0,0
