Time (ms), Voltage (V), Raw reading,V*dt,,,,Resistance,1000
359771,0,0,,,,,Ah,1890.221472
359782,0,0,0,,,,Time,47.81
359792,0,0,0,,,,,
359803,0,0,0,,,Integral V*dt,1.61545,
359815,0,0,0,,,,,
359826,0,1,0,,,,,
359837,0,1,0,,,,,
359848,0.01,3,0.00011,,,,,
359860,0.01,2,0.00012,,,,,
359871,0.02,4,0.00022,,,,,
359882,0.02,5,0.00022,,,,,
359894,0.03,6,0.00036,,,,,
359905,0,0,0,,,,,
359915,0,0,0,,,,,
359926,0.05,11,0.00055,,,,,
359938,0.04,9,0.00048,,,,,
359949,0.07,14,0.00077,,,,,
359960,0,0,0,,,,,
359971,0,0,0,,,,,
359983,0.08,17,0.00096,,,,,
359994,0.07,14,0.00077,,,,,
360005,0,0,0,,,,,
360016,0,0,0,,,,,
360027,0.04,8,0.00044,,,,,
360038,0.09,18,0.00099,,,,,
360050,0.1,21,0.0012,,,,,
360064,0.09,18,0.00126,,,,,
360075,0.11,22,0.00121,,,,,
360086,0.11,23,0.00121,,,,,
360097,0.04,8,0.00044,,,,,
360109,0,0,0,,,,,
360120,0.01,3,0.00011,,,,,
360131,0,1,0,,,,,
360165,0.08,17,0.00272,,,,,
360176,0,0,0,,,,,
360187,0.06,12,0.00066,,,,,
360199,0.11,23,0.00132,,,,,
360210,0.01,2,0.00011,,,,,
360221,0.02,5,0.00022,,,,,
360232,0.03,6,0.00033,,,,,
360244,0.04,8,0.00048,,,,,
360255,0.09,19,0.00099,,,,,
360266,0.07,15,0.00077,,,,,
360278,0.07,14,0.00084,,,,,
360289,0.08,16,0.00088,,,,,
360300,0.02,4,0.00022,,,,,
360310,0.11,22,0.0011,,,,,
360322,0,0,0,,,,,
360333,0.1,20,0.0011,,,,,
360344,0,0,0,,,,,
360355,0.08,16,0.00088,,,,,
360367,0.12,25,0.00144,,,,,
360378,0,0,0,,,,,
360389,0.1,20,0.0011,,,,,
360400,0.14,28,0.00154,,,,,
360412,0.05,10,0.0006,,,,,
360423,0.01,3,0.00011,,,,,
360434,0.08,17,0.00088,,,,,
360445,0.09,18,0.00099,,,,,
360457,0,0,0,,,,,
360467,0.07,15,0.0007,,,,,
360481,0.14,28,0.00196,,,,,
360493,0.11,22,0.00132,,,,,
360504,0,0,0,,,,,
360515,0.08,16,0.00088,,,,,
360526,0.13,26,0.00143,,,,,
360538,0.06,12,0.00072,,,,,
360549,0.12,24,0.00132,,,,,
360560,0.1,20,0.0011,,,,,
360571,0.15,31,0.00165,,,,,
360583,0.07,14,0.00084,,,,,
360594,0.05,10,0.00055,,,,,
360605,0.1,21,0.0011,,,,,
360615,0.13,27,0.0013,,,,,
360627,0.12,24,0.00144,,,,,
360638,0.07,15,0.00077,,,,,
360649,0.14,28,0.00154,,,,,
360660,0.13,27,0.00143,,,,,
360672,0.11,23,0.00132,,,,,
360683,0.18,36,0.00198,,,,,
360694,0.15,31,0.00165,,,,,
360706,0.19,38,0.00228,,,,,
360717,0.17,35,0.00187,,,,,
360728,0.21,42,0.00231,,,,,
360739,0.12,24,0.00132,,,,,
360751,0.2,41,0.0024,,,,,
360762,0.02,4,0.00022,,,,,
360773,0.19,38,0.00209,,,,,
360783,0.23,47,0.0023,,,,,
360795,0.16,32,0.00192,,,,,
360806,0.19,38,0.00209,,,,,
360817,0.22,45,0.00242,,,,,
360828,0.2,40,0.0022,,,,,
360840,0.2,40,0.0024,,,,,
360851,0.18,37,0.00198,,,,,
360862,0.13,26,0.00143,,,,,
360871,0.23,48,0.00207,,,,,
360883,0.22,44,0.00264,,,,,
360894,0.22,46,0.00242,,,,,
360905,0.24,49,0.00264,,,,,
360916,0.25,52,0.00275,,,,,
360928,0.25,51,0.003,,,,,
360938,0.19,39,0.0019,,,,,
360949,0.16,33,0.00176,,,,,
360961,0.18,36,0.00216,,,,,
360972,0.23,47,0.00253,,,,,
360983,0.28,57,0.00308,,,,,
360994,0.19,38,0.00209,,,,,
361006,0.18,36,0.00216,,,,,
361017,0.24,50,0.00264,,,,,
361028,0.22,44,0.00242,,,,,
361039,0.18,36,0.00198,,,,,
361051,0.28,58,0.00336,,,,,
361062,0.22,45,0.00242,,,,,
361073,0.16,33,0.00176,,,,,
361084,0.26,54,0.00286,,,,,
361096,0.24,49,0.00288,,,,,
361106,0.29,60,0.0029,,,,,
361117,0.22,46,0.00242,,,,,
361128,0.31,63,0.00341,,,,,
361140,0.31,63,0.00372,,,,,
361151,0.32,66,0.00352,,,,,
361162,0.34,69,0.00374,,,,,
361174,0.19,38,0.00228,,,,,
361185,0.33,68,0.00363,,,,,
361196,0.29,59,0.00319,,,,,
361207,0.37,75,0.00407,,,,,
361219,0.33,68,0.00396,,,,,
361230,0.34,69,0.00374,,,,,
361241,0.35,71,0.00385,,,,,
361255,0.37,76,0.00518,,,,,
361267,0.28,57,0.00336,,,,,
361278,0.37,75,0.00407,,,,,
361289,0.31,64,0.00341,,,,,
361299,0.34,70,0.0034,,,,,
361311,0.39,79,0.00468,,,,,
361322,0.06,12,0.00066,,,,,
361333,0.44,90,0.00484,,,,,
361345,0.23,48,0.00276,,,,,
361356,0.27,56,0.00297,,,,,
361367,0.31,64,0.00341,,,,,
361378,0.46,94,0.00506,,,,,
361390,0.14,29,0.00168,,,,,
361401,0.21,43,0.00231,,,,,
361412,0.32,66,0.00352,,,,,
361423,0.44,90,0.00484,,,,,
361435,0.24,50,0.00288,,,,,
